组织单位,数量
万科物业,26
万物云城,22
蝶城发展中心,15
福讯信息,10
资产经营中心,10
丹田,7
万净环卫,7
万御安防,6
祥盈企服,5
万物梁行,2
为家-朴邻,2
（作废）F01广州西北,1
（作废）F02广州中南,1
（作废）F03广州东清管理中心,1
（作废）F广州大区,1
（作废）北京商企公司,1
（作废）北京物业,1
（作废）北京战区,1
（作废）成都战区,1
（作废）东莞物业（中心城市）,1
（作废）房产经纪运营管理中心,1
（作废）佛山战区,1
（作废）福建伯恩物业集团有限公司,1
（作废）福建伯恩物业集团有限公司50932028,1
（作废）福建伯恩物业集团有限公司50932030,1
（作废）公司服务中心,1
（作废）广州万盈物业50927570,1
（作废）广州万盈物业50927609,1
（作废）广州物业（中心城市）,1
（作废）广州战区,1
（作废）海南物业,1
（作废）杭州物业（中心城市）,1
（作废）杭州战区,1
（作废）合肥城市代表处,1
（作废）华北区域,1
（作废）华东区域,1
（作废）华南区域,1
（作废）惠州物业,1
（作废）吉黑战区代表处,1
（作废）昆明物业,1
（作废）南京战区,1
（作废）青岛战区,1
（作废）厦门战区,1
（作废）上海战区,1
（作废）设施管理运营中心,1
（作废）深圳战区,1
（作废）沈阳战区,1
（作废）苏州战区,1
（作废）万物仓,1
（作废）万物成长咨询服务公司,1
（作废）万物社区业务部,1
（作废）武汉战区,1
（作废）物业发展,1
（作废）物业事业本部,1
（作废）幸福社区发展中心50901406,1
（作废）业财法人组织,1
（作废）誉鹰物业,1
（作废）长春战区,1
（作废）浙江耀江物业,1
（作废）政企空间服务事业部,1
（作废）中西区域,1
（作废）珠海万物云,1
（作废）住宅项目运营中心,1
（作废）资产经营中心50974450,1
（作废）自营装修发展中心-作废,1
安徽战区代表处,1
被投-福建伯恩,1
被投-重庆天骄,1
川云战区代表处,1
东北战区代表处,1
鄂豫战区代表处,1
佛山战区代表处,1
福建战区代表处,1
福州战区代表处,1
广州战区代表处,1
杭州战区代表处,1
津晋战区代表处,1
京冀战区代表处,1
南京战区代表处,1
琼桂战区代表处,1
厦门战区代表处,1
山东战区代表处,1
上海战区代表处,1
深圳战区代表处,1
苏州战区代表处,1
西北战区代表处,1
湘赣战区代表处,1
渝贵战区代表处,1
